Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,278.250000,280.500000,277.100006,279.750000,279.750000,521892
2019-02-08,281.000000,281.000000,274.600006,275.850006,275.850006,247481
2019-02-11,278.299988,278.299988,268.500000,277.450012,277.450012,639298
2019-02-12,277.450012,280.450012,274.500000,275.450012,275.450012,481271
2019-02-14,278.000000,280.000000,276.899994,277.899994,277.899994,655544
2019-02-15,279.000000,280.600006,275.500000,279.600006,279.600006,250631
2019-02-18,280.500000,282.149994,273.750000,274.149994,274.149994,775398
2019-02-19,274.149994,278.750000,274.000000,275.100006,275.100006,294348
2019-02-20,277.500000,278.399994,274.000000,275.850006,275.850006,441211
2019-02-21,276.000000,277.000000,274.100006,274.899994,274.899994,375657
2019-02-22,276.000000,276.000000,273.250000,274.299988,274.299988,774462
2019-02-25,275.000000,277.200012,273.299988,276.750000,276.750000,497360
2019-02-26,276.000000,276.750000,274.049988,274.950012,274.950012,544201
2019-02-27,276.500000,278.750000,273.850006,275.049988,275.049988,480774
2019-02-28,276.700012,276.899994,274.350006,276.149994,276.149994,480004
2019-03-01,277.000000,278.649994,276.100006,277.799988,277.799988,689752
2019-03-05,279.100006,283.600006,276.200012,282.649994,282.649994,655473
2019-03-06,284.500000,288.899994,284.500000,285.450012,285.450012,911239
2019-03-07,285.899994,290.899994,285.600006,290.049988,290.049988,530053
2019-03-08,290.950012,293.149994,289.200012,292.049988,292.049988,535240
2019-03-11,292.000000,294.700012,291.149994,293.000000,293.000000,395307
2019-03-12,293.049988,295.549988,293.049988,294.549988,294.549988,410934
2019-03-13,296.000000,296.899994,294.200012,294.799988,294.799988,446651
2019-03-14,290.299988,296.000000,290.299988,295.450012,295.450012,365819
2019-03-15,296.000000,296.750000,289.500000,290.950012,290.950012,346969
2019-03-18,291.100006,294.100006,291.100006,292.250000,292.250000,774208
2019-03-19,294.500000,300.000000,293.350006,299.399994,299.399994,530965
2019-03-20,300.000000,301.600006,296.649994,298.500000,298.500000,578598
2019-03-22,300.000000,300.399994,296.299988,297.700012,297.700012,535677
2019-03-25,297.000000,297.000000,293.450012,295.200012,295.200012,282408
2019-03-26,295.000000,296.299988,291.200012,293.200012,293.200012,406096
2019-03-27,293.000000,296.350006,291.750000,293.000000,293.000000,416515
2019-03-28,294.950012,301.500000,293.149994,300.000000,300.000000,703876
2019-04-01,297.250000,299.500000,296.500000,297.299988,297.299988,303844
2019-04-02,297.000000,299.700012,294.700012,297.100006,297.100006,455872
2019-04-03,297.799988,298.450012,295.000000,295.850006,295.850006,428073
2019-04-04,295.950012,296.899994,293.950012,294.500000,294.500000,183480
2019-04-05,295.200012,296.000000,292.750000,294.649994,294.649994,2110638
2019-04-08,293.500000,295.000000,291.700012,292.549988,292.549988,374984
2019-04-09,292.549988,296.700012,292.399994,296.350006,296.350006,849108
2019-04-10,294.549988,296.600006,293.450012,294.000000,294.000000,537159
2019-04-11,294.950012,297.250000,293.000000,296.299988,296.299988,829068
2019-04-12,296.399994,306.399994,295.600006,305.600006,305.600006,4545577
2019-04-15,307.000000,310.000000,304.350006,305.049988,305.049988,554033
2019-04-16,307.799988,309.750000,306.100006,307.049988,307.049988,447505
2019-04-18,307.299988,308.000000,303.399994,304.350006,304.350006,397772
2019-04-22,304.350006,305.149994,301.000000,301.700012,301.700012,466714
2019-04-23,303.700012,304.600006,301.649994,303.350006,303.350006,535808
2019-04-24,303.000000,307.200012,298.700012,306.450012,306.450012,384525
2019-04-25,306.450012,309.700012,302.649994,304.500000,304.500000,562411
2019-04-26,305.899994,306.200012,302.649994,304.649994,304.649994,195059
2019-04-30,305.000000,307.450012,300.149994,301.549988,301.549988,415423
2019-05-02,302.000000,306.250000,299.000000,304.649994,304.649994,2180861
2019-05-03,304.000000,307.350006,302.899994,303.600006,303.600006,441625
2019-05-06,304.000000,307.500000,300.950012,307.000000,307.000000,432631
2019-05-07,308.100006,309.549988,301.450012,302.350006,302.350006,598639
2019-05-08,300.850006,303.200012,298.600006,300.750000,300.750000,166758
2019-05-09,300.000000,301.299988,296.350006,299.799988,299.799988,684474
2019-05-10,299.799988,300.549988,296.950012,297.700012,297.700012,459081
2019-05-13,296.000000,303.500000,288.000000,289.850006,289.850006,1253454
2019-05-14,291.200012,297.700012,289.000000,294.000000,294.000000,796423
2019-05-15,297.700012,299.250000,292.899994,297.100006,297.100006,632706
2019-05-16,299.000000,299.000000,293.250000,294.700012,294.700012,403360
2019-05-17,296.149994,302.250000,295.000000,301.399994,301.399994,551304
2019-05-20,305.000000,307.549988,302.250000,307.000000,307.000000,434663
