Date,Open,High,Low,Close,Adj Close,Volume
2018-12-13,1340.000000,1342.000000,1316.000000,1320.150024,1309.127686,111751
2018-12-14,1335.000000,1349.550049,1319.500000,1340.050049,1328.861572,96372
2018-12-17,1342.000000,1350.000000,1330.300049,1334.849976,1323.704956,134187
2018-12-18,1344.500000,1358.949951,1330.000000,1354.449951,1343.141357,156641
2018-12-19,1370.000000,1404.900024,1369.900024,1400.400024,1388.707764,335104
2018-12-20,1392.000000,1431.500000,1389.800049,1425.300049,1413.399780,348911
2018-12-21,1444.000000,1444.000000,1382.400024,1387.800049,1376.213013,101349
2018-12-24,1390.000000,1390.150024,1352.199951,1356.050049,1344.728027,143992
2018-12-26,1372.599976,1373.599976,1344.349976,1362.199951,1350.826538,278457
2018-12-27,1362.500000,1385.000000,1355.099976,1367.050049,1355.636230,171307
2018-12-28,1372.099976,1384.250000,1361.000000,1365.349976,1353.950317,65162
2018-12-31,1379.500000,1379.500000,1359.750000,1373.699951,1362.230591,36987
2019-01-01,1380.000000,1380.099976,1351.599976,1371.849976,1360.395996,43844
2019-01-02,1371.000000,1386.750000,1363.300049,1381.550049,1370.015137,84625
2019-01-03,1382.000000,1392.000000,1379.949951,1385.150024,1373.584961,132887
2019-01-04,1388.000000,1401.300049,1380.050049,1385.300049,1373.733765,70056
2019-01-07,1394.400024,1404.050049,1384.500000,1394.800049,1383.154541,89437
2019-01-08,1400.000000,1412.750000,1396.550049,1401.250000,1389.550659,58379
2019-01-09,1411.949951,1413.500000,1390.000000,1402.900024,1391.186768,263397
2019-01-10,1387.099976,1402.349976,1387.099976,1397.550049,1385.881470,32690
2019-01-11,1397.000000,1406.599976,1394.000000,1402.199951,1390.492554,26143
2019-01-14,1410.000000,1410.250000,1386.800049,1388.400024,1376.807861,80948
2019-01-15,1388.449951,1414.000000,1388.449951,1406.050049,1394.310547,35551
2019-01-16,1407.000000,1413.599976,1386.300049,1389.000000,1377.402954,79935
2019-01-17,1397.000000,1399.199951,1385.199951,1389.449951,1377.848999,46009
2019-01-18,1399.750000,1404.250000,1384.050049,1401.300049,1389.600220,151185
2019-01-21,1399.800049,1424.199951,1396.500000,1420.650024,1408.788696,369857
2019-01-22,1425.000000,1431.500000,1378.000000,1406.550049,1394.806396,298450
2019-01-23,1430.000000,1430.000000,1390.750000,1396.050049,1384.394043,134965
2019-01-24,1400.000000,1413.300049,1396.000000,1400.250000,1388.558960,222006
2019-01-25,1405.000000,1415.000000,1353.150024,1372.199951,1360.743042,93230
2019-01-28,1370.000000,1390.000000,1368.349976,1379.199951,1367.684570,117696
2019-01-29,1380.000000,1400.000000,1373.050049,1392.500000,1380.873657,100064
2019-01-30,1394.000000,1415.000000,1373.500000,1388.750000,1377.154907,76583
2019-01-31,1396.449951,1415.000000,1392.050049,1412.650024,1400.855469,62578
2019-02-01,1416.000000,1469.349976,1409.500000,1456.949951,1444.785522,144133
2019-02-04,1453.000000,1453.000000,1430.300049,1448.400024,1436.307007,41293
2019-02-05,1444.000000,1465.949951,1444.000000,1450.449951,1438.339722,34126
2019-02-06,1468.699951,1472.949951,1433.849976,1465.849976,1453.611206,48299
2019-02-07,1474.750000,1476.000000,1457.650024,1472.050049,1459.759521,27995
2019-02-08,1475.000000,1478.599976,1445.000000,1448.400024,1436.307007,44825
2019-02-11,1450.000000,1456.150024,1427.000000,1437.949951,1425.944092,45399
2019-02-12,1435.000000,1456.550049,1434.550049,1448.699951,1436.604370,109386
2019-02-14,1419.650024,1422.449951,1397.050049,1399.449951,1387.765503,30053
2019-02-15,1399.449951,1402.800049,1373.000000,1395.250000,1383.600586,44934
2019-02-18,1400.000000,1400.000000,1346.750000,1379.750000,1368.230103,61173
2019-02-19,1376.000000,1397.000000,1372.000000,1378.949951,1367.436768,25386
2019-02-20,1384.150024,1396.400024,1377.000000,1394.400024,1382.757690,27431
2019-02-21,1398.550049,1407.750000,1392.000000,1397.750000,1386.079834,77586
2019-02-22,1400.000000,1406.949951,1383.949951,1398.300049,1386.625244,115191
2019-02-25,1402.800049,1405.800049,1391.750000,1398.750000,1387.071411,30741
2019-02-26,1399.000000,1406.500000,1379.150024,1401.250000,1389.550659,32435
2019-02-27,1401.250000,1428.449951,1395.400024,1402.500000,1390.790161,115782
2019-02-28,1413.000000,1415.449951,1401.000000,1405.050049,1393.318848,64092
2019-03-01,1407.599976,1417.699951,1388.150024,1392.150024,1380.526611,40824
2019-03-05,1394.500000,1409.000000,1384.800049,1401.199951,1389.500854,49259
2019-03-06,1406.050049,1408.000000,1387.199951,1393.750000,1382.113281,86206
2019-03-07,1399.050049,1405.199951,1392.050049,1397.250000,1385.583984,36617
2019-03-08,1397.250000,1397.250000,1380.699951,1383.599976,1372.047974,31762
2019-03-11,1383.599976,1423.500000,1383.599976,1417.900024,1406.061646,225655
