Date,Open,High,Low,Close,Adj Close,Volume
2018-12-13,2869.800049,2884.449951,2823.050049,2836.000000,2751.703613,36912
2018-12-14,2838.000000,2838.000000,2788.000000,2824.699951,2740.739502,25577
2018-12-17,2830.000000,2850.000000,2830.000000,2840.949951,2756.506348,13987
2018-12-18,2841.699951,2873.399902,2824.199951,2841.000000,2756.554932,24562
2018-12-19,2856.000000,2881.050049,2846.000000,2868.100098,2782.849609,30180
2018-12-20,2861.949951,2899.000000,2831.399902,2884.199951,2798.470947,25825
2018-12-21,2899.850098,2900.000000,2804.250000,2811.550049,2727.980469,30899
2018-12-24,2820.000000,2835.000000,2713.699951,2724.000000,2643.032715,41550
2018-12-26,2724.000000,2754.000000,2669.399902,2737.949951,2656.567871,45355
2018-12-27,2766.000000,2768.000000,2701.000000,2736.050049,2654.724609,46072
2018-12-28,2745.000000,2759.449951,2719.000000,2723.300049,2642.353516,68063
2018-12-31,2744.000000,2762.000000,2712.000000,2718.500000,2637.696045,21740
2019-01-01,2738.000000,2745.000000,2707.000000,2724.600098,2643.614990,28116
2019-01-02,2728.000000,2744.649902,2680.000000,2689.399902,2609.460938,46468
2019-01-03,2694.000000,2722.649902,2685.000000,2700.399902,2620.134033,22361
2019-01-04,2713.050049,2740.500000,2703.949951,2734.649902,2653.365967,22757
2019-01-07,2740.000000,2740.000000,2643.300049,2657.399902,2578.412109,35672
2019-01-08,2678.000000,2698.500000,2630.899902,2690.750000,2610.770996,30248
2019-01-09,2700.000000,2708.000000,2673.600098,2695.649902,2615.525146,27082
2019-01-10,2700.000000,2725.000000,2687.550049,2718.750000,2637.938721,17364
2019-01-11,2725.100098,2735.000000,2700.000000,2713.800049,2633.135742,17600
2019-01-14,2716.000000,2734.000000,2678.550049,2700.149902,2619.891357,12789
2019-01-15,2712.399902,2734.899902,2710.500000,2725.300049,2644.293945,10552
2019-01-16,2725.000000,2731.050049,2709.800049,2717.100098,2636.337891,93273
2019-01-17,2723.949951,2735.600098,2700.199951,2726.350098,2645.312988,11235
2019-01-18,2740.000000,2741.050049,2698.000000,2716.550049,2635.804199,65227
2019-01-21,2715.000000,2720.199951,2670.000000,2685.449951,2605.628418,24213
2019-01-22,2685.449951,2694.949951,2651.050049,2683.949951,2604.173096,12250
2019-01-23,2688.300049,2698.050049,2665.199951,2677.399902,2597.817627,8782
2019-01-24,2679.000000,2681.350098,2637.050049,2647.800049,2569.097656,10982
2019-01-25,2650.000000,2668.350098,2615.000000,2623.800049,2545.811035,11496
