Date,Open,High,Low,Close,Adj Close,Volume
2019-05-21,723.500000,723.500000,707.000000,709.200012,690.853638,511790
2019-05-22,711.099976,718.200012,707.000000,709.200012,690.853638,497340
2019-05-23,717.700012,717.700012,698.400024,701.250000,683.109253,652528
2019-05-24,702.349976,711.849976,701.250000,709.450012,691.097168,497574
2019-05-27,708.799988,713.599976,705.299988,709.099976,690.756165,549476
2019-05-28,710.000000,730.500000,710.000000,726.650024,707.852234,493319
2019-05-29,726.500000,733.700012,724.349976,727.349976,708.534058,277383
2019-05-30,727.799988,737.349976,724.000000,733.299988,714.330139,217850
2019-05-31,735.000000,742.000000,733.549988,736.849976,717.788269,206651
2019-06-03,734.000000,750.700012,729.950012,744.650024,725.386597,246396
2019-06-04,741.950012,741.950012,733.250000,734.700012,715.693970,309295
2019-06-06,734.700012,745.000000,734.099976,737.950012,718.859863,321239
2019-06-07,737.700012,744.000000,735.950012,739.349976,720.223633,320333
2019-06-10,738.000000,754.500000,738.000000,753.599976,734.104980,249632
2019-06-11,754.000000,758.900024,751.200012,754.849976,735.322632,287202
2019-06-12,754.150024,756.000000,745.000000,753.950012,734.445984,204706
2019-06-13,741.500000,747.200012,739.200012,742.700012,723.487000,378457
2019-06-14,744.200012,745.650024,738.400024,740.400024,721.246521,298249
2019-06-17,741.150024,744.700012,737.500000,740.400024,721.246521,331734
2019-06-18,740.000000,752.400024,740.000000,750.650024,731.231384,1001741
2019-06-19,751.000000,755.000000,748.750000,751.849976,732.400269,299917
2019-06-20,735.000000,756.450012,735.000000,754.549988,735.030396,636623
2019-06-21,754.000000,755.000000,747.000000,750.700012,731.280029,328861
2019-06-24,752.000000,752.000000,742.650024,745.599976,726.311951,255056
2019-06-25,742.500000,750.849976,737.250000,748.049988,728.698608,281982
2019-06-26,744.000000,751.500000,738.099976,739.650024,720.515930,283076
2019-06-27,741.000000,744.950012,728.200012,730.849976,711.943481,282242
2019-06-28,733.900024,739.450012,728.349976,731.950012,713.015076,329553
2019-07-01,734.099976,737.799988,729.650024,731.150024,712.235779,310899
2019-07-02,734.400024,741.150024,730.900024,739.900024,720.759460,238903
2019-07-03,742.000000,742.700012,730.299988,731.500000,712.576721,338665
2019-07-04,734.000000,736.349976,729.250000,733.900024,714.914673,266711
2019-07-05,736.000000,736.000000,713.200012,718.250000,699.669495,351697
2019-07-08,717.000000,724.099976,712.599976,717.450012,698.890198,301869
2019-07-09,717.900024,719.700012,708.900024,715.400024,696.893250,184016
2019-07-10,710.150024,722.599976,706.700012,716.900024,698.354431,230925
2019-07-11,721.000000,723.650024,710.000000,720.849976,702.202209,220817
2019-07-12,723.299988,730.849976,719.349976,727.099976,708.290527,179046
2019-07-15,762.000000,781.400024,754.500000,779.450012,759.286255,1168501
2019-07-16,776.799988,787.900024,774.799988,784.950012,764.644043,388399
2019-07-17,784.700012,795.000000,777.000000,794.299988,773.752075,253810
2019-07-18,792.400024,798.599976,786.049988,793.150024,772.631897,248113
2019-07-19,789.700012,794.400024,781.400024,785.599976,765.277161,205113
2019-07-22,786.900024,792.000000,782.250000,785.150024,764.838867,333145
2019-07-23,785.450012,804.250000,785.450012,789.900024,769.466003,497688
2019-07-24,789.500000,793.299988,783.650024,786.049988,765.715515,345353
2019-07-25,787.000000,800.250000,787.000000,795.049988,774.482727,327591
2019-07-26,793.000000,794.700012,782.700012,787.299988,766.933228,293235
2019-07-29,787.549988,796.849976,786.400024,791.549988,771.073242,272313
2019-07-30,792.000000,798.000000,788.250000,792.799988,772.290894,267946
2019-07-31,792.000000,799.450012,781.750000,794.000000,773.459900,302444
2019-08-01,790.799988,790.799988,764.799988,769.049988,749.155273,365299
2019-08-02,769.000000,780.000000,762.400024,775.400024,755.341064,390658
2019-08-05,773.000000,785.750000,768.250000,776.750000,756.656128,471827
2019-08-06,778.000000,783.900024,770.000000,774.650024,754.610474,852181
2019-08-07,779.000000,783.599976,772.349976,776.150024,756.071655,462609
2019-08-08,778.000000,792.900024,778.000000,789.099976,768.686584,539576
2019-08-09,791.500000,796.400024,785.500000,790.150024,769.709534,483333
2019-08-13,788.349976,788.349976,760.500000,764.099976,744.333374,600910
2019-08-14,774.000000,778.500000,768.450012,774.900024,754.854004,341438
2019-08-16,779.000000,779.799988,762.250000,774.549988,754.513062,226017
2019-08-19,777.000000,783.299988,773.799988,777.799988,757.678955,262801
2019-08-20,781.049988,797.900024,781.049988,792.900024,772.388428,513651
2019-08-21,792.799988,803.000000,792.750000,799.549988,778.866333,339416
2019-08-22,800.799988,800.799988,792.500000,795.900024,775.310791,199130
2019-08-23,798.000000,809.950012,796.000000,801.900024,781.155579,355792
2019-08-26,800.000000,806.750000,787.500000,802.900024,782.129700,174352
2019-08-27,791.000000,795.000000,781.200012,785.000000,764.692688,248061
2019-08-28,785.099976,804.900024,785.099976,802.099976,781.350281,164188
2019-08-29,798.900024,809.650024,796.000000,806.849976,785.977417,177460
2019-08-30,808.000000,817.500000,802.000000,814.599976,793.526978,156965
2019-09-03,815.000000,822.299988,812.049988,814.299988,793.234741,132158
2019-09-04,813.700012,822.700012,810.250000,821.049988,799.810181,138123
2019-09-05,827.099976,837.000000,826.400024,834.200012,812.619995,252694
2019-09-06,838.000000,847.400024,835.150024,840.150024,818.416077,145166
2019-09-09,838.049988,840.000000,827.299988,829.200012,807.749329,118172
2019-09-11,821.650024,827.950012,814.700012,820.099976,798.884705,265029
2019-09-12,818.000000,819.799988,811.200012,816.349976,795.231689,90350
2019-09-13,816.000000,830.849976,816.000000,829.150024,807.700623,138896
2019-09-16,831.549988,838.000000,821.000000,827.450012,806.044617,114142
